month_end,ment_health_no_good_18_24,genhlth_no_good_18_24,ment_health_no_good_25on,genhlth_no_good_25on,divorced_widowed_separated,avg_close_apple_stock,avg_close_atandt_stock,avg_close_verizon_stock,x0_24_suicides,x25on_suicides,population_num_million,unemp_per,personal_save_rate,x0_24_suicides_per_thous,x25on_suicides_per_thous
2007-02-28,0.45098039215686275,0.013888888888888888,0.2960810415922595,0.0610409428877561,0.29343413999318313,3.05875,37.248947263157895,35.2623885,309,2156,300.29,0.045,0.04,1029.0052948816144,7179.726264610876
2007-03-31,0.45685670261941447,0.01078582434514638,0.3037188194804008,0.06152346724332227,0.29508244394684036,3.24991075,37.6113635,34.7302665,376,2570,300.51,0.044000000000000004,0.043,1251.2062826528236,8552.128048983395
2007-04-30,0.4309006211180124,0.006987577639751553,0.3024372454871452,0.062422124297219266,0.3018873394601803,3.4044285999999997,39.192499850000004,35.820183,332,2452,300.73,0.045,0.040999999999999995,1103.9803145678848,8153.493166627872
2007-05-31,0.463003663003663,0.008791208791208791,0.30490051028110754,0.06509858389444126,0.3013832571247807,4.02482125,40.09318136363636,39.547366,357,2725,300.97,0.044000000000000004,0.039,1186.164734026647,9054.058544040932
2007-06-30,0.4510542168674699,0.01355421686746988,0.29654873288307826,0.06363664528921523,0.2985766595794945,4.3752675,40.04333357142857,39.40966875,311,2600,301.23,0.046,0.037000000000000005,1032.4336885436376,8631.278425123659
2007-07-31,0.4081765087605451,0.006489292667099286,0.29657110123025726,0.06063995198996154,0.29403519700981157,4.9248574000000005,40.113809857142854,39.2724372,390,2694,301.5,0.047,0.036000000000000004,1293.5323383084578,8935.323383084578
2007-08-31,0.45869837296620775,0.010012515644555695,0.2969230769230769,0.060974358974358975,0.29774087190133103,4.65035725,39.48391256521739,38.8938845,343,2647,301.77,0.046,0.033,1136.6272326606356,8771.581005401466
2007-09-30,0.44838976052848883,0.01486374896779521,0.3037540711959317,0.061167933260956514,0.3009200942001205,5.073214,40.943158315789475,40.2638635,340,2609,302.03,0.047,0.035,1125.715988477966,8638.21474687945
2007-10-31,0.4511517077045274,0.008737092930897538,0.3085366531428889,0.061218251542266434,0.3028189634519658,6.2263572,41.80478256521739,42.0095962,356,2633,302.29,0.047,0.033,1177.677065069966,8710.17896721691
2007-11-30,0.44393241167434716,0.013824884792626729,0.3041101159404363,0.06088246606956426,0.2986715770090754,6.12071425,38.69523785714286,40.2148535,333,2457,302.53,0.047,0.031,1100.7172842362743,8121.508610716294
2007-12-31,0.4331508991399531,0.008600469116497263,0.2994731176703869,0.06246105036541839,0.29576356284093686,6.8462857999999995,40.32299955,41.3019668,332,2375,302.75,0.05,0.035,1096.6143682906688,7844.7563996696945
2008-01-31,0.42905405405405406,0.016891891891891893,0.29923826934795855,0.05783059110298598,0.29865164604249356,5.337589250000001,38.17523790476191,36.898428,377,2647,302.97,0.05,0.037000000000000005,1244.3476251774102,8736.838630887545
2008-02-29,0.4394849785407725,0.013733905579399141,0.29813089520282393,0.05621781146924368,0.29031900138696254,4.41598225,36.42349995,34.254158,319,2458,303.19,0.049,0.040999999999999995,1052.145519311323,8107.127543784426
2008-03-31,0.4404476418864908,0.012789768185451638,0.30031329255557215,0.057615992839027304,0.2944895343870141,4.8444286,36.2584997,33.3058962,354,2685,303.38,0.051,0.04,1166.8534511174105,8850.286769068494
2008-04-30,0.4650602409638554,0.010441767068273093,0.30736631448836044,0.0588010241619824,0.2979878992542564,5.8825895,38.23499995454546,34.760512250000005,366,2688,303.62,0.05,0.034,1205.4541861537448,8853.171727817667
2008-05-31,0.46484698097601324,0.009925558312655087,0.3054769540338301,0.059894359554800984,0.30192140000601375,6.615982,39.45619042857143,35.69371025,369,2793,303.85,0.054000000000000006,0.078,1214.4150074049696,9192.035543853875
2008-06-30,0.4541319181197877,0.008339651250947688,0.3034569153219793,0.05840243393187377,0.298170749054081,6.2392142,36.09619019047619,33.945954,352,2739,304.09,0.055999999999999994,0.055,1157.5520405143216,9007.201815252063
2008-07-31,0.4432565789473684,0.014802631578947368,0.3002026500389712,0.05961028838659392,0.3004678048925837,5.86169625,32.038636363636364,32.5494375,364,2760,304.36,0.057999999999999996,0.044000000000000004,1195.9521619135235,9068.208700223418
2008-08-31,0.4303030303030303,0.008658008658008658,0.3088659793814433,0.058842188739095955,0.2993329290479078,6.1750895,31.08380957142857,32.81673625,360,2658,304.61,0.061,0.038,1181.8390729129048,8725.911821673615
2008-09-30,0.45397489539748953,0.011506276150627616,0.3070531400966184,0.062512077294686,0.2995043370508054,4.8238572,30.39666623809524,31.0047354,365,2745,304.86,0.061,0.047,1197.2708784360034,9004.133044676244
2008-10-31,0.4673144876325088,0.015901060070671377,0.3148359161349134,0.06039369854428397,0.3027964756744924,3.55508925,25.83739143478261,25.48947875,393,2616,305.09,0.065,0.055,1288.1444819561443,8574.518994395097
2008-11-30,0.4536082474226804,0.013120899718837863,0.3037613411043682,0.059935107853151474,0.29556152357850357,3.24758925,27.05157894736842,28.411002,345,2460,305.3,0.068,0.065,1130.036030134294,8057.648214870619
2008-12-31,0.47089487402258906,0.013900955690703735,0.30649342909080074,0.056947879727031615,0.2955741079597438,3.2773572,28.14863640909091,31.3273684,331,2420,305.52,0.073,0.064,1083.3987954962033,7920.921707253208
2009-01-31,0.432073544433095,0.010214504596527068,0.30291009700323346,0.05780385359023935,0.29797381645914023,3.1375,26.2675001,28.70643725,347,2620,305.71,0.078,0.062,1135.0626410650618,8570.21360112525
2009-02-28,0.44023569023569026,0.015151515151515152,0.3005487547488392,0.060257492612916845,0.2925498159664932,3.387411,24.223157894736843,27.8130985,342,2371,305.92,0.083,0.055,1117.939330543933,7750.392259414226
2009-03-31,0.43316831683168316,0.007425742574257425,0.2998914970757139,0.06025881917061423,0.2948035746110956,3.611857,24.50272740909091,27.8928184,375,2662,306.11,0.087,0.059000000000000004,1225.0498186926268,8696.220312959395
