Date,Open,High,Low,Close,Adj Close,Volume
1997-08-04,32.544243,34.118057,32.459930,32.909592,11.867323,7569029
1997-08-11,32.993904,34.455303,32.740971,33.921329,12.232160,11073444
1997-08-18,33.837021,34.174267,32.375618,32.712864,11.796387,17296127
1997-08-25,33.218735,33.780811,32.516136,32.544243,11.735579,11186863
1997-09-01,32.572346,34.820652,32.572346,34.174267,12.323373,14018772
1997-09-08,34.230473,35.860497,34.230473,35.607559,12.840229,13386296
1997-09-15,35.551353,36.731712,34.511513,35.410835,12.769289,22279432
1997-09-22,35.551353,36.169636,34.876862,35.719975,12.880770,15355111
1997-09-29,35.607559,37.434311,35.551353,36.675507,13.225329,13378956
1997-10-06,37.040855,38.165009,35.832390,36.029118,12.992242,13755239
1997-10-13,36.141533,37.153271,35.551353,36.422573,13.254731,11422595
1997-10-20,36.253948,38.333633,35.748081,36.872234,13.418369,18372715
1997-10-27,36.563091,37.631039,33.612186,35.972912,13.091088,19817134
1997-11-03,36.310158,37.378101,35.270313,36.872234,13.418369,12757823
1997-11-10,36.900337,38.614670,36.450676,37.490517,13.643367,16162384
1997-11-17,37.743450,39.682617,37.546726,38.980022,14.185420,18076713
1997-11-24,38.923813,40.385212,38.024490,40.132278,14.604745,10282404
1997-12-01,39.907448,41.031601,39.457787,40.329006,14.676334,21004251
1997-12-08,40.413315,41.144016,39.907448,40.244694,14.645647,13401195
1997-12-15,40.244694,41.256432,39.682617,40.666252,14.799071,15745404
1997-12-22,40.610043,40.694355,39.851238,39.851238,14.502470,6077685
1997-12-29,39.879341,41.762302,39.710720,40.891083,14.880890,11572263
1998-01-05,40.638145,40.834873,38.670879,38.923813,14.164968,19837372
1998-01-12,38.108803,40.497627,38.108803,40.076069,14.709701,12905489
1998-01-19,40.132278,41.256432,40.019863,40.919186,15.019166,11831125
1998-01-26,40.919186,41.987129,40.806770,41.621780,15.277050,17427113
1998-02-02,41.987129,42.183857,40.919186,40.919186,15.019166,16226877
1998-02-09,41.087807,41.144016,39.401577,39.963654,14.668444,13937376
1998-02-16,40.357109,40.638145,39.823135,40.019863,14.689072,9615903
1998-02-23,40.300900,40.406288,39.485889,40.357109,14.812866,12782508
1998-03-02,40.300900,43.392323,40.272797,42.858349,15.730932,16638743
1998-03-09,42.521103,43.560947,41.930923,43.308010,15.895967,10710504
1998-03-16,43.504738,47.664104,43.504738,46.989613,17.247286,18883544
1998-03-23,46.989613,47.495483,45.078552,45.415798,16.669626,14470667
1998-03-30,45.584423,47.102028,45.415798,46.005981,16.886244,12138912
1998-04-06,46.146500,46.202705,43.111286,43.589050,15.999127,15043096
1998-04-13,43.589050,43.589050,41.144016,43.139389,15.955801,20877488
1998-04-20,43.167492,44.263542,41.481262,41.846611,15.477649,15706708
1998-04-27,41.172119,43.841984,40.919186,43.729568,16.174091,15131387
1998-05-04,44.404060,45.050449,42.296272,42.493000,15.716722,13322470
1998-05-11,42.830246,43.336117,40.581940,41.003498,15.165801,16708573
1998-05-18,41.087807,42.099548,40.188484,41.818508,15.467247,14694835
1998-05-25,41.930923,41.959026,40.610043,41.200226,15.238566,8383197
1998-06-01,41.818508,43.841984,41.453159,43.532841,16.101318,12045508
1998-06-08,43.504738,43.813881,42.521103,42.858349,15.851848,8365627
1998-06-15,42.942661,43.813881,42.015236,43.645260,16.142904,11894506
1998-06-22,43.589050,44.263542,40.469524,40.975391,15.155416,22314792
1998-06-29,41.340744,42.155754,40.694355,41.818508,15.467247,8916265
1998-07-06,41.874718,42.717831,41.481262,41.762302,15.446455,9516718
1998-07-13,41.762302,42.436794,39.851238,40.525730,15.113225,13375509
1998-07-20,40.694355,41.368847,39.345371,40.638145,15.155146,16079767
1998-07-27,40.638145,41.593678,38.727085,40.778667,15.207549,17911145
1998-08-03,40.919186,42.155754,37.602932,37.883972,14.128029,15253255
1998-08-10,37.827763,38.783295,36.366364,36.984650,13.792651,13011570
1998-08-17,36.928440,39.570202,36.703609,38.895710,14.505347,12685100
1998-08-24,39.457787,41.368847,37.940178,40.638145,15.155146,12911939
1998-08-31,40.357109,41.481262,36.534988,37.883972,14.128029,16684111
1998-09-07,38.221218,40.076069,37.490517,40.076069,14.945526,9818166
1998-09-14,40.581940,41.087807,38.502254,40.694355,15.176109,11527674
1998-09-21,39.907448,43.279907,38.951916,42.493000,15.846878,12182279
