DATE,USALORSGPNOSTSAM
2005-02-01,100.407962623278
2005-03-01,100.451390709903
2005-04-01,100.481914515656
2005-05-01,100.510693637119
2005-06-01,100.547309687344
2005-07-01,100.595037739451
2005-08-01,100.6542909011
2005-09-01,100.725418387571
2005-10-01,100.810840241066
2005-11-01,100.911488987885
2005-12-01,101.022396283828
2006-01-01,101.127349240785
2006-02-01,101.207025275055
2006-03-01,101.247780046534
2006-04-01,101.252443474453
2006-05-01,101.232433871326
2006-06-01,101.202652201389
2006-07-01,101.178402521741
2006-08-01,101.171726099813
2006-09-01,101.187621284943
2006-10-01,101.219254728467
2006-11-01,101.255732009134
2006-12-01,101.288960165808
2007-01-01,101.320404014467
2007-02-01,101.356108023121
2007-03-01,101.402094265216
2007-04-01,101.459701472162
2007-05-01,101.527204526802
2007-06-01,101.600831501755
2007-07-01,101.67530060987
2007-08-01,101.743616033283
2007-09-01,101.797029451093
2007-10-01,101.825669235775
2007-11-01,101.821822464882
2007-12-01,101.785193675968
2008-01-01,101.730640890912
2008-02-01,101.674616028801
2008-03-01,101.623101610605
2008-04-01,101.559866433635
2008-05-01,101.456603891433
2008-06-01,101.284070873301
2008-07-01,101.026208931292
2008-08-01,100.678048303604
2008-09-01,100.249670242359
2008-10-01,99.7763816631231
2008-11-01,99.3023454039755
2008-12-01,98.8678609015809
2009-01-01,98.497200022671
2009-02-01,98.205072294322
2009-03-01,97.9983836882664
2009-04-01,97.8722588694541
2009-05-01,97.8188841207252
2009-06-01,97.8303870250364
2009-07-01,97.89640638559
2009-08-01,98.0066808516129
2009-09-01,98.1496216297244
2009-10-01,98.3075784194201
2009-11-01,98.4638087482595
2009-12-01,98.6082873400668
2010-01-01,98.7435371054956
2010-02-01,98.8775320970461
2010-03-01,99.0170497609049
2010-04-01,99.1609082159396
2010-05-01,99.3031117290101
2010-06-01,99.4355220477721
2010-07-01,99.5504877037406
2010-08-01,99.640554219242
2010-09-01,99.6992505284643
2010-10-01,99.7234843069796
2010-11-01,99.7134795200929
2010-12-01,99.6749883535141
2011-01-01,99.6237484037223
2011-02-01,99.5772422522737
2011-03-01,99.5472473128413
2011-04-01,99.5319193953795
2011-05-01,99.5252704646626
2011-06-01,99.5253697722743
2011-07-01,99.541725282705
2011-08-01,99.5875371348092
2011-09-01,99.6706349915269
2011-10-01,99.7820922786244
2011-11-01,99.9052204912864
2011-12-01,100.022321535682
2012-01-01,100.120449939124
2012-02-01,100.190289421601
2012-03-01,100.226210541824
2012-04-01,100.228169977888
2012-05-01,100.19899168915
2012-06-01,100.143909665369
2012-07-01,100.072179871241
2012-08-01,99.9945976975893
2012-09-01,99.9220914134054
2012-10-01,99.8646257362684
2012-11-01,99.8292205350546
2012-12-01,99.8167746737072
2013-01-01,99.8171720171336
2013-02-01,99.8177737529804
2013-03-01,99.8108141038151
2013-04-01,99.8006201845741
2013-05-01,99.7963667212263
2013-06-01,99.8049539571148
2013-07-01,99.8233522146445
2013-08-01,99.8428884028848
2013-09-01,99.8526825953754
2013-10-01,99.8428758173232
2013-11-01,99.8088431246641
2013-12-01,99.7566649030871
2014-01-01,99.710159611752
2014-02-01,99.6979546787142
2014-03-01,99.7401712991196
2014-04-01,99.8325851259001
2014-05-01,99.9588262100104
2014-06-01,100.09873887834
2014-07-01,100.234200066582
2014-08-01,100.351621366027
2014-09-01,100.44468509655
2014-10-01,100.518261296029
2014-11-01,100.58118166286
2014-12-01,100.640305142086
2015-01-01,100.695274753325
2015-02-01,100.74122308113
2015-03-01,100.771707386686
2015-04-01,100.78222647478
2015-05-01,100.769535768339
2015-06-01,100.732342478642
2015-07-01,100.673610552709
2015-08-01,100.598412371103
2015-09-01,100.513303457384
2015-10-01,100.426861317324
2015-11-01,100.346939683828
2015-12-01,100.278035230399
2016-01-01,100.218197141258
2016-02-01,100.163175348857
2016-03-01,100.109868814761
2016-04-01,100.059387343844
2016-05-01,100.01499681859
2016-06-01,99.9798562904804
2016-07-01,99.9543108435362
2016-08-01,99.9371069509273
2016-09-01,99.9258835435095
2016-10-01,99.9170312390012
2016-11-01,99.9068199444146
2016-12-01,99.8923182572334
2017-01-01,99.8723723135502
2017-02-01,99.8476785856106
2017-03-01,99.8212124054491
2017-04-01,99.7989625478442
2017-05-01,99.78809704511
2017-06-01,99.7948115311758
2017-07-01,99.8213416869279
2017-08-01,99.8676546422628
2017-09-01,99.9316653701614
2017-10-01,100.007980529104
2017-11-01,100.089890592732
2017-12-01,100.170424226794
2018-01-01,100.242950794471
2018-02-01,100.301537257585
2018-03-01,100.341831409568
2018-04-01,100.362895445033
2018-05-01,100.365262653544
2018-06-01,100.350336990578
2018-07-01,100.321102431873
2018-08-01,100.281292299626
2018-09-01,100.235568738137
2018-10-01,100.190444880262
2018-11-01,100.151781436894
2018-12-01,100.122247929612
2019-01-01,100.098322560015
2019-02-01,100.074481504162
2019-03-01,100.046944007436
2019-04-01,100.01737313506
2019-05-01,99.9899194913657
2019-06-01,99.9684084483758
2019-07-01,99.953373369663
2019-08-01,99.9439259542646
2019-09-01,99.9391304280239
2019-10-01,99.9389476547903
2019-11-01,99.943899146037
2019-12-01,99.9543761531193
2020-01-01,99.969555517908
2020-02-01,99.9881187547825
2020-03-01,95.2024182133152
2020-04-01,92.2188118716871
2020-05-01,90.6538384251557
2020-06-01,92.3232853133896
2020-07-01,93.9846196799805
2020-08-01,95.633257639516
2020-09-01,95.7371142426028
2020-10-01,95.8358775740398
2020-11-01,95.9305786519379
