month_end,ment_health_no_good_18_24,genhlth_no_good_18_24,divorced_widowed_separated_18_24,ment_health_no_good_25on,genhlth_no_good_25on,divorced_widowed_separated_25on,ment_health_no_good,genhlth_no_good,divorced_widowed_separated,avg_close_apple_stock,avg_close_atandt_stock,avg_close_facebook_stock,avg_close_tmobile_stock,avg_close_twitter_stock,avg_close_verizon_stock,gdp_quart,gdp_fill,x0_24_suicides,x25on_suicides,all_social_media_usage,x18_29_social_media_usage,x30_49_social_media_usage,x50_64_social_media_usage,x65_social_media_usage,population_num_million,broadband_usage_per,unemp_per,psavert,personal_save_rate
2004-09-30,0.4524660471765547,0.009292351679771264,0.032165832737669764,0.31495608977202166,0.055797037168455604,0.2991217954404329,0.3222752750674694,0.05310359144695869,0.2837865891633797,0.66504475,26.29000004761905,0,0,0,36.25619675,14464.984,14464.984,364,2344,0,0,0,0,0,293.57,0.25,0.054000000000000006,4.6,0.046
2004-10-31,0.4771953710006807,0.009530292716133424,0.03063308373042886,0.31119321521538335,0.05831723906289361,0.2925938365941725,0.3203631647211414,0.05537868961993476,0.2774436976771607,0.8230802500000001,26.243809476190474,0,0,0,35.898717,0,14609.876,361,2401,0,0,0,0,0,293.8,0.25,0.055,4.5,0.045
2004-11-30,0.4683965402528277,0.00998003992015968,0.025282767797737856,0.31323460272684533,0.06006111894687353,0.295940756993966,0.32080733944954126,0.05702752293577982,0.2811949500880799,1.0450716,25.884285761904763,0,0,0,37.3003106,0,14609.876,385,2255,0,0,0,0,0,294.02,0.25,0.054000000000000006,4,0.04
2004-12-31,0.48590686274509803,0.013480392156862746,0.034926470588235295,0.31760413743334803,0.06013711261676623,0.3022733651417345,0.32705083227588266,0.057139658132417705,0.28564496864735744,1.1542412499999999,25.73136372727273,0,0,0,36.63840975,14609.876,14609.876,309,2156,0,0,0,0,0,294.23,0.25,0.054000000000000006,6.8,0.068
2005-01-31,0.46963824289405687,0.008397932816537468,0.0355297157622739,0.3119549619163263,0.05865469531939947,0.29982337356491023,0.3197620118302259,0.05597066555970666,0.28524975785249757,1.2955712,24.6560001,0,0,0,33.3253042,0,14771.602,399,2291,0,0,0,0,0,294.38,0.25,0.053,3.6,0.036000000000000004
2005-02-28,0.4558918222794591,0.00901481004507405,0.028332260141661302,0.3054635472961194,0.058507670850767086,0.29829149232914925,0.3125102637369856,0.05577087302108651,0.28476647178611314,1.5295985,24.30421042105263,0,0,0,32.4295785,0,14771.602,295,2148,0,0,0,0,0,294.56,0.29,0.054000000000000006,3.2,0.032
2005-03-31,0.44839255499153974,0.012408347433728144,0.029892836999435984,0.3071981210279083,0.060237634705719814,0.29628350373031226,0.31471358799366045,0.05741177992690106,0.2811721706504512,1.4876785,23.790000136363638,0,0,0,31.7393485,14771.602,14771.602,385,2435,0.05,0.07,0.06,0.04,0.03,294.78,0.29,0.052000000000000005,3.4,0.034
2005-04-30,0.46039309112567006,0.007742703990470518,0.03275759380583681,0.3162364584726495,0.061020462752440816,0.29696381996923693,0.3226961492556065,0.057949619951001945,0.28301294132428695,1.34508925,23.545714285714286,0,0,0,31.2694525,0,14839.782,360,2433,0.05,0.07,0.06,0.04,0.03,295.03,0.29,0.052000000000000005,3,0.03
2005-05-31,0.4777031154551008,0.006719609040928528,0.0354306658521686,0.314697584806991,0.06123993669579578,0.29869593641399717,0.32208757472935856,0.05803845532396187,0.284726262038653,1.3454284,23.560952333333333,0,0,0,31.3827662,0,14839.782,369,2515,0.05,0.07,0.06,0.04,0.03,295.26,0.29,0.051,3.5,0.035
2005-06-30,0.4514792899408284,0.011242603550295858,0.02605091770278271,0.3081255313119864,0.06021749141015196,0.29845565315953526,0.3155260977630489,0.05743355206469146,0.28302512096506927,1.32482125,23.68136390909091,0,0,0,31.2334795,14839.782,14839.782,347,2410,0.05,0.07,0.06,0.04,0.03,295.52,0.33,0.05,2.8,0.027999999999999997
2005-07-31,0.46049966239027684,0.012153950033760972,0.03175675675675676,0.30499844527363185,0.05997356965174129,0.29918749757026786,0.31264342694787456,0.0572979273667723,0.28494917477319925,1.48616075,23.92850005,0,0,0,30.911971,0,14972.054,369,2457,0.05,0.07,0.06,0.04,0.03,295.77,0.33,0.05,2.2,0.022000000000000002
2005-08-31,0.4485294117647059,0.0066844919786096255,0.038101604278074866,0.306813634544727,0.05773218378260395,0.3003784295175024,0.3132938477866411,0.05511999726111815,0.28693240189028146,1.6205714,24.299130130434783,0,0,0,29.5913158,0,14972.054,339,2409,0.05,0.07,0.06,0.04,0.03,296.04,0.33,0.049,2.6,0.026000000000000002
2005-09-30,0.4554234769687964,0.010401188707280832,0.02453531598513011,0.31840721822452556,0.05670929495544536,0.2980088000596614,0.3240965979199718,0.054327516305305835,0.28500405486407393,1.869018,23.92666661904762,0,0,0,29.315674,14972.054,14972.054,347,2418,0.05,0.07,0.06,0.04,0.03,296.31,0.33,0.05,2.6,0.026000000000000002
2005-10-31,0.45626822157434405,0.007288629737609329,0.037900874635568516,0.3121105295018338,0.06135602877287943,0.297660173083087,0.31784042302381194,0.05860559110811721,0.2858827096035302,1.9755714,23.037142857142857,0,0,0,27.4491294,0,15066.597,346,2368,0.05,0.07,0.06,0.04,0.03,296.51,0.33,0.05,3,0.03
2005-11-30,0.47200622083981336,0.007776049766718507,0.03421461897356143,0.3020452747749444,0.06124524464198275,0.3040759436449936,0.30927577595433464,0.058615768819122366,0.29146894066435935,2.39348225,24.15047619047619,0,0,0,28.542256000000002,0,15066.597,344,2224,0.05,0.07,0.06,0.04,0.03,296.76,0.33,0.05,3.5,0.035
2005-12-31,0.443666899930021,0.00979706088173548,0.03079076277116865,0.30340002109630465,0.05650293590239443,0.29672995780590716,0.30927253418292844,0.05396256471525289,0.2835285918157379,2.59535725,24.84571442857143,0,0,0,27.46756525,15066.597,15066.597,302,2241,0.08,0.16,0.09,0.05,0.02,296.99,0.36,0.049,3.6,0.036000000000000004
2006-01-31,0.45663265306122447,0.006802721088435374,0.036564625850340135,0.30669456066945605,0.055397489539748955,0.3032598234087961,0.31281362361215376,0.05302461574933818,0.29008930688374296,2.7275714,25.06899985,0,0,0,28.4581694,0,15267.026,331,2379,0.08,0.16,0.09,0.05,0.02,297.22,0.36,0.047,4.2,0.042
2006-02-28,0.44479745830023826,0.011914217633042097,0.03415409054805401,0.30228143957720793,0.056459116453905986,0.2974502140331286,0.3076706346411214,0.054201591885609635,0.28555829517435716,2.47125,27.570000052631578,0,0,0,30.43083325,0,15267.026,302,2112,0.08,0.16,0.09,0.05,0.02,297.42,0.41,0.048,4.2,0.042
